epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.4168,2.91729,4.23495,1.41914,0.88668,0.07143,0.13063,0.10013,2.46293,4.55693,1.28285,3.334e-05,3.334e-05,3.334e-05
2,59.4663,2.95494,4.25459,1.40925,0.29275,0.1788,0.18263,0.14683,2.29039,3.33391,1.15272,8.3185e-05,8.3185e-05,8.3185e-05
3,89.4341,2.37348,2.27694,1.24075,0.62558,0.28243,0.16964,0.11318,2.65299,6.80799,1.15743,0.000132832,0.000132832,0.000132832
4,122.456,1.98312,1.06868,1.07091,0.46944,0.43457,0.31656,0.19113,2.50631,2.59872,1.10972,0.000182281,0.000182281,0.000182281
5,159.379,1.74848,0.85358,1.00032,0.51369,0.47908,0.41252,0.2241,1.93196,4.77839,0.96726,0.000231532,0.000231532,0.000231532
6,193.216,1.73473,0.76117,0.97668,0.61204,0.50183,0.43903,0.23077,1.96788,5.52532,0.98473,0.000280584,0.000280584,0.000280584
7,226.724,1.66601,0.72577,0.96011,0.70648,0.52659,0.43412,0.23886,1.83235,5.53346,0.99033,0.000329439,0.000329439,0.000329439
8,259.983,1.58765,0.74633,0.97121,0.73134,0.55643,0.48681,0.27918,1.66116,4.37215,0.95985,0.000378096,0.000378096,0.000378096
9,296.399,1.66756,0.70234,0.94344,0.697,0.53001,0.47422,0.25788,1.78672,3.03497,0.958,0.000426555,0.000426555,0.000426555
10,329.322,1.58686,0.68018,0.93668,0.74929,0.59177,0.54074,0.30215,1.74592,2.5401,0.95148,0.000474815,0.000474815,0.000474815
11,359.166,1.54941,0.68646,0.94239,0.81458,0.72105,0.65881,0.39404,1.40078,1.92306,0.92168,0.000522878,0.000522878,0.000522878
12,387.617,1.34335,0.63552,0.9158,0.67546,0.70632,0.68825,0.40495,1.36889,2.11215,0.90052,0.000570742,0.000570742,0.000570742
13,419.936,1.35354,0.61964,0.92516,0.42019,0.55822,0.35524,0.18678,1.40039,4.48458,0.89075,0.000618409,0.000618409,0.000618409
14,453.127,1.41468,0.61885,0.91738,0.41284,0.48407,0.25111,0.13214,1.26822,inf,0.88023,0.000665877,0.000665877,0.000665877
15,487.924,1.42181,0.6301,0.91113,0.21913,0.33474,0.10739,0.05274,1.38529,inf,0.92054,0.000713148,0.000713148,0.000713148
16,520.532,1.33943,0.62428,0.91262,0.36132,0.65559,0.34307,0.19344,1.20531,2.50882,0.89022,0.00076022,0.00076022,0.00076022
17,554.161,1.44475,0.6337,0.91054,0.76847,0.81767,0.76641,0.43177,1.64034,1.89165,0.93114,0.000807095,0.000807095,0.000807095
18,588.066,1.52592,0.65388,0.92814,0.69639,0.82712,0.7017,0.41433,1.64405,2.27013,0.92858,0.000853771,0.000853771,0.000853771
19,621.389,1.48651,0.65501,0.91313,0.54221,0.80446,0.49902,0.30317,1.29805,3.55886,0.88418,0.000900249,0.000900249,0.000900249
20,652.3,1.26737,0.61533,0.89496,0.5867,0.88498,0.6036,0.35613,1.26598,4.01,0.87105,0.00094653,0.00094653,0.00094653
21,683.141,1.39612,0.60433,0.89793,0.60889,0.89864,0.63262,0.39373,1.22054,3.78384,0.8724,0.000992612,0.000992612,0.000992612
22,715.368,1.38561,0.62991,0.89572,0.69042,0.84807,0.71148,0.45949,1.25415,1.45118,0.87792,0.0010385,0.0010385,0.0010385
23,748.905,1.4711,0.63754,0.89912,0.71394,0.90634,0.79589,0.49914,1.35569,1.4791,0.88405,0.00108418,0.00108418,0.00108418
24,781.629,1.46896,0.63244,0.89588,0.81974,0.85442,0.84595,0.55821,1.21427,1.29174,0.87366,0.00112967,0.00112967,0.00112967
25,809.616,1.28561,0.63559,0.891,0.76398,0.82278,0.69113,0.46457,1.15335,1.74711,0.87315,0.00117496,0.00117496,0.00117496
26,837.265,1.27933,0.62623,0.88063,0.82377,0.83363,0.81765,0.5489,1.16945,0.96824,0.8809,0.00122005,0.00122005,0.00122005
27,866.824,1.16017,0.56316,0.87658,0.50881,0.71663,0.45456,0.26664,1.33749,1.16632,0.88354,0.00126495,0.00126495,0.00126495
28,899.089,1.36515,0.60446,0.8809,0.18627,0.35955,0.07309,0.04284,1.39077,inf,0.90905,0.00130964,0.00130964,0.00130964
29,926.713,1.39044,0.62904,0.88592,0.18627,0.35955,0.07309,0.04284,1.39077,inf,0.90905,0.00135414,0.00135414,0.00135414
30,956.386,1.26778,0.5892,0.8824,0.00052,0.0007,0.0025,0.001,1.27312,inf,0.91802,0.00139844,0.00139844,0.00139844
31,991.258,1.26022,0.5818,0.87363,0,0,0,0,1.2206,inf,0.90578,0.00144254,0.00144254,0.00144254
32,1020.59,1.12137,0.56568,0.88116,0.14347,0.19852,0.0266,0.01782,1.29815,inf,0.89835,0.00148645,0.00148645,0.00148645
33,1052.32,1.26967,0.57116,0.87767,0.14347,0.19852,0.0266,0.01782,1.29815,inf,0.89835,0.00153015,0.00153015,0.00153015
34,1084.23,1.21805,0.56229,0.87298,0.45892,0.7212,0.44904,0.28287,1.14557,1.15915,0.87197,0.00155808,0.00155808,0.00155808
35,1118.86,1.16097,0.54428,0.8725,0.8828,0.82689,0.86536,0.59929,1.07159,0.6022,0.85443,0.00155478,0.00155478,0.00155478
36,1150.24,1.24276,0.55207,0.85958,0.88787,0.89591,0.93819,0.67134,1.04249,0.54041,0.85528,0.00155148,0.00155148,0.00155148
37,1182.5,1.1327,0.54885,0.86064,0.88787,0.89591,0.93819,0.67134,1.04249,0.54041,0.85528,0.00154818,0.00154818,0.00154818
38,1216.69,1.18037,0.54847,0.8622,0.9271,0.84279,0.94041,0.68064,1.04774,0.52233,0.85643,0.00154488,0.00154488,0.00154488
39,1245.68,1.11448,0.53308,0.87135,0.95543,0.84381,0.92417,0.65876,1.04969,0.5376,0.85557,0.00154157,0.00154157,0.00154157
40,1275.18,1.12965,0.53307,0.86123,0.88775,0.83654,0.89619,0.65086,1.04663,0.54154,0.85516,0.00153827,0.00153827,0.00153827
41,1302.89,1.06406,0.52184,0.85573,0.88775,0.83654,0.89619,0.65086,1.04663,0.54154,0.85516,0.00153497,0.00153497,0.00153497
42,1332.55,1.09454,0.51476,0.85742,0.95676,0.85646,0.9274,0.69884,1.00721,0.52062,0.84741,0.00153167,0.00153167,0.00153167
43,1362.03,1.11086,0.51298,0.85533,0.93333,0.87218,0.93453,0.71097,0.9965,0.51013,0.84826,0.00152837,0.00152837,0.00152837
44,1396.02,1.13856,0.51328,0.86237,0.9158,0.93305,0.95352,0.70091,1.06806,0.5144,0.85126,0.00152507,0.00152507,0.00152507
45,1418.81,1.04963,0.49131,0.85416,0.9158,0.93305,0.95352,0.70091,1.06806,0.5144,0.85126,0.00152177,0.00152177,0.00152177
46,1444.7,1.03776,0.48816,0.85302,0.94138,0.93896,0.96354,0.69954,1.00552,0.5057,0.84645,0.00151847,0.00151847,0.00151847
47,1473.64,1.20014,0.51628,0.85123,0.88702,0.87908,0.9181,0.65607,1.11145,0.57018,0.86381,0.00151517,0.00151517,0.00151517
48,1499.17,1.18157,0.52301,0.86032,0.86393,0.86953,0.90417,0.63201,1.08829,0.59015,0.86365,0.00151187,0.00151187,0.00151187
49,1526.37,1.11918,0.51399,0.85275,0.86393,0.86953,0.90417,0.63201,1.08829,0.59015,0.86365,0.00150857,0.00150857,0.00150857
